PART_NO,PART_DESCRIPTION,Version,ST_ LOCATION,VALIDITY,CAT Description,QTY REQUIRED,Qty / Lot,Primary #,Secondary #,Pack Code,Pack Qty,Packing Group,Total No of Packing Group,Mix Group,Mix,Bom.no,Case_map,Images
81-A0830-1A,BOLTFLGHEX M8X1.25X30 7T,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,MITR BATTERY TRAY -LHD AC,24,AC,1,0,0,43,0,81-A0830-1A
81-A0835-1A,"BOLT-FLG,HEX M8X1.25X35 7T",5,AC-L1-B2 Box,-,X866A725KAXCL - GAZL E3,120,120,X866A725KAXCL - GAZL E3,Bulk,MITR FAB E3 3700WB AIS,120,AC,1,0,0,44,0,81-A0835-1A
81-A4020-1A,"BOLT- FLG, HEX M10X1.25X20 7T",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB PANEL AND FAB BUS,48,AC,1,0,0,45,0,81-A4020-1A
81-A4025-1A,"Bolt-FLG,Hex M10*1.25*25 7T",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,384,384,X866A725KAXCL - GAZL E3,Bulk,MITR FAB E3 3700WB AIS,384,AC,1,0,0,46,0,81-A4025-1A
81-B0830-1A,"BOLT-FLG,HEX M8X1.25X30 9T",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,MITR FABPANEL BUS EURO3  EURO,48,AC,1,0,0,47,0,81-B0830-1A
81-B0870-1A,"BOLT- FLG, HEX M8X1.25X70 9T",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,Bulk,MITR FABPANEL BUS EURO3  EURO,96,AC,1,0,0,48,0,81-B0870-1A
81-B4025-1A,"BOLT-FLG,HEX M10X1.25X25 9T",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,Bulk,MITR FABPANEL  ENGINE MTG ASS,96,AC,1,0,0,49,0,81-B4025-1A
81-B4035-1A,BOLT - FLG M10 X 1.25 X 35,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,432,432,X866A725KAXCL - GAZL E3,Bulk,PANEL BUS SPARE WHEEL CARRIER,432,AC,1,0,0,50,0,81-B4035-1A
878442VE0A,COVER-BELT ANCH,5,AC-L1-B2 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,Front End Structure Assembly,48,AC,1,0,0,51,0,878442VE0A
89-11105-1,NUT HEX M5x0.8 7N,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,192,192,X866A725KAXCL - GAZL E3,Bulk,FABRICATED BUS 3700 WB E3  E4,192,AC,1,0,0,52,0,89-11105-1
89-11106-1,NUT- HEX M6x1 7N,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,144,144,X866A725KAXCL - GAZL E3,Bulk,FUEL TANK ASSEMBLY,144,AC,1,0,0,53,0,89-11106-1
89-11108-1A,NUT- HEX M8x1.25 7N,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,FUEL TANK ASSEMBLY,48,AC,1,0,0,54,0,89-11108-1A
89-11308-1A,"NUT- HEX,JAM M8X1.25 4N",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,FUEL TANK ASSEMBLY,48,AC,1,0,0,55,0,89-11308-1A
89-11344-1A,"NUT- HEX,JAM M14X1.5 4N",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,POWER STEERING MiTR FAB BUS C,24,AC,1,0,0,56,0,89-11344-1A
89-12410-1A,"NUT-SLOCK,HEX TYPE N M10X1.5 9",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,72,72,X866A725KAXCL - GAZL E3,Bulk,MITR FABPANEL BUS EURO3  EURO,72,AC,1,0,0,57,0,89-12410-1A
89-12440-1A,"NUT-SLOCK,HEX TYPE N M10X1.25 9N",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,MITR FABPANEL BUS EURO3  EURO,48,AC,1,0,0,58,0,89-12440-1A
89-15135-1,WASHERLOCK SPR M5 X1.3t,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,216,216,X866A725KAXCL - GAZL E3,Bulk,FABRICATED BUS 3700 WB E3  E4,216,AC,1,0,0,59,0,89-15135-1
89-15136-1,WASHER-LOCK SPR M6 X1.5t,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,144,144,X866A725KAXCL - GAZL E3,Bulk,FUEL TANK ASSEMBLY,144,AC,1,0,0,60,0,89-15136-1
89-15138-1A,WASHER-LOCK SPR M8 X 2.0t,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,FUEL TANK ASSEMBLY,48,AC,1,0,0,61,0,89-15138-1A
89-15144-1A,WASHERLOCK SPRING M14 X 3.5t,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,POWER STEERING MiTR FAB BUS C,48,AC,1,0,0,62,0,89-15144-1A
89-15436-1,PLAIN WASHER,5,AC-L1-B2 Box,-,X866A725KAXCL - GAZL E3,144,144,X866A725KAXCL - GAZL E3,Bulk,POWER STEERING MiTR FAB BUS C,144,AC,1,0,0,63,0,89-15436-1
89-15438-1A,WASHER-PLAIN M8X1.6t,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,CHANGE SPEED OPERATION ASSEMBLY,24,AC,1,0,0,64,0,89-15438-1A
89-15538-1A,WASHER-PLAIN M8X2.3t,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,CHANGE SPEED OPERATION ASSEMBLY,24,AC,1,0,0,65,0,89-15538-1A
89-15540-1A,WASHER-PLAIN M10X2.3t,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB PANEL AND FAB BUS,48,AC,1,0,0,66,0,89-15540-1A
89-18106-1,"NUT-FLG,HEX M6X1 7N",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,120,120,X866A725KAXCL - GAZL E3,Bulk,PANEL BUS LHD FUEL PIPING - WITH PREFILT,120,AC,1,0,0,67,0,89-18106-1
89-18108-1A,"NUT-FLG,HEX M8X1.25 7N",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,264,264,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB PANEL AND FAB BUS,264,AC,1,0,0,68,0,89-18108-1A
89-18142-1A,"NUT-FLG,HEX M12X1.25 7N",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,Bulk,PROPELLER SHAFT ASSEMBLY,96,AC,1,0,0,69,0,89-18142-1A
89-18308-1A,"NUT-FLG,HEX M8X1.25 9N",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,888,888,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB PANEL AND FAB BUS,888,AC,1,0,0,70,0,89-18308-1A
89-18340-1A,NUTFLGHEX M10X1.25 9N,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,1200,1200,X866A725KAXCL - GAZL E3,Bulk,MITR FAB E3 3700WB AIS,1200,AC,1,0,0,71,0,89-18340-1A
89-18342-1A,"NUT-FLG,HEX M12X1.25 9N",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,MITR FABPANEL BUS EURO3  EURO,48,AC,1,0,0,72,0,89-18342-1A
89-18642-1A,"NUT-SLOCK FLG,HEX TYPS M12X1.25 9N",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,MITR FABPANEL  ENGINE MTG ASS,24,AC,1,0,0,73,0,89-18642-1A
9-21545-2A,"PIN-COTTER,SPLIT 5",5,AC-L1-B2 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,MITR FAB FIRST FRONT AXLE  LH,48,AC,1,0,0,74,0,9-21545-2A
990552VE0A,BUSH-PLATE,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB-LHD-CSRA - EXPORTS - TOW HOO,96,AC,1,0,0,75,0,990552VE0A
990562VE0A,RIVET - PLATE,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB-LHD-CSRA - EXPORTS - TOW HOO,48,AC,1,0,0,76,0,990562VE0A
990982VE0B,LABEL SIDE BS4,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,Badges Assembly For MITR Fabr,24,AC,1,0,0,77,0,990982VE0B
F2S02111,BANJO BOLT M10X1X19MM,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB PANEL AND FAB BUS,48,AC,1,0,0,78,0,F2S02111
F3522711,Special Flanged Nut HEX M10,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,288,288,X866A725KAXCL - GAZL E3,Bulk,PANEL BUS  FABRICATED BUS RR,288,AC,1,0,0,79,0,F3522711
FAN03600,CLIP SPACER TUBE 2 WAY,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,168,168,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB PANEL AND FAB BUS,168,AC,1,0,0,80,0,FAN03600
FAN03900,CLIP PIPE  ONE WAY,5,AC-L1-B2 Box,-,X866A725KAXCL - GAZL E3,216,216,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB PANEL AND FAB BUS,216,AC,1,0,0,81,0,FAN03900
FAN04100,CLIP PIPE SPACER TUBE,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB PANEL AND FAB BUS,48,AC,1,0,0,82,0,FAN04100
FB400358,COLLAR BUSH RUBBER MTG,5,AC-L1-B2 Box,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,Bulk,CLS COMPL W RING FAN MITR LHD,96,AC,1,0,0,83,0,FB400358
FG300558,FerruleRubber Packing Insul T,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,Bulk,POWER STEERING MiTR FAB BUS C,96,AC,1,0,0,84,0,FG300558
FGD00199,FIRST AID KIT .,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,PANEL BUS LHD 3700WB (3TON MECHANICAL) T,24,AC,1,0,0,85,0,FGD00199
FRN07311,PIN BAND,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,FUEL TANK ASSEMBLY,48,AC,1,0,0,86,0,FRN07311
L3011018,NUT M10 X PC 8 X 1.5 CP PLATED,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,192,192,X866A725KAXCL - GAZL E3,Bulk,PANEL BUS  FABRICATED BUS RR,192,AC,1,0,0,87,0,L3011018
L4011000,WASHER 10 DIA PLATED,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,192,192,X866A725KAXCL - GAZL E3,Bulk,PANEL BUS  FABRICATED BUS RR,192,AC,1,0,0,88,0,L4011000
L7300700,External Circlip E Type ID 7 x T 0.9 mm,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,MITR LHD PANEL AND FAB BUS,24,AC,1,0,0,89,0,L7300700
X1D02411,STUD RADIATOR MOUNT,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,CLS COMPL W RING FAN MITR LHD,48,AC,1,0,0,90,0,X1D02411
X4W00344,VIN PLATE .,5,AC-L1-B2 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,MITR 3700WB-LHD-CSRA - EXPORTS - TOW HOO,24,AC,1,0,0,91,0,X4W00344
X8H00713,Hose Clamp HOSE CLAMP OD 19.,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,POWER STEERING MiTR FAB BUS C,24,AC,1,0,0,92,0,X8H00713
X8H00813,Hose Clamp OD 24.6MM THK 1.3M,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,POWER STEERING MiTR FAB BUS C,48,AC,1,0,0,93,0,X8H00813
X8H16800,HOSE CLAMP 3550,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,Bulk,CLS COMPL W RING FAN MITR LHD,48,AC,1,0,0,94,0,X8H16800
XDR00613,BracketSteering Pipe Brkt  PS,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,144,144,X866A725KAXCL - GAZL E3,Bulk,POWER STEERING MiTR FAB BUS C,144,AC,1,0,0,95,0,XDR00613
371712VE0A,NUT-TAIL SFT,5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,192,192,X866A725KAXCL - GAZL E3,Bulk,PROPELLER SHAFT ASSEMBLY,192,AC,1,0,0,383,0,371712VE0A
383222VE0A,BRTHR,5,AC-L1-B2 Box,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,Bulk,SINGLE REAR AXLE ASSEMBLYPANE,24,AC,1,0,0,384,0,383222VE0A
81-58625-33,"BOLT- HEX HEAD,WITH WAVE LOCK WAHSER AND",5,AC-L1-B1 Box,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,Bulk,ENG ASSYE3E4 PANELFABRI LOOSE,96,AC,1,0,0,385,0,81-58625-33
81-B4030-1A,"BOLT- FLG, HEX M10X1.25X30 9T (ALF) (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,288,288,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,288,AY,1,0,0,386,0,81-B4030-1A
FYL02011,SPECIAL FLANGED SCREW  M8 x 1 (ALF),5,AY,-,X866A725KAXCL - GAZL E3,120,120,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,120,AY,1,0,0,387,0,FYL02011
112402VF0A,MBR ASSY. ENGINE MTG. FR (ALF),5,AZ,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,12,AZ,2,0,0,388,0,112402VF0A
11-25008-41,BOLT-FLG PILOT (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,389,0,11-25008-41
112502VE0A,SUPPORT ASSY-ENG MTG (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,390,0,112502VE0A
207132VE2C,MTG ASSY-EXH (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,391,0,207132VE2C
207132VE2E,MTG ASSY-EXH (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,392,0,207132VE2E
207132VF0B,MTG ASSY EXH (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,393,0,207132VF0B
207132VF0C,MTG ASSY EXH (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,394,0,207132VF0C
271752VF0A,BRKT ISOLATOR SWITCH (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,395,0,271752VF0A
501122VF2A,MBR - SIDE OTR (RH) (ALF),5,AZ,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,12,AZ,2,0,0,396,0,501122VF2A
501132VF2A,MBR - SIDE OTR (LH) (ALF),5,AZ,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,12,AZ,2,0,0,397,0,501132VF2A
501202VF1A,MBR ASSY - SIDE INR FR RH (ALF),5,AZ,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,12,AZ,2,0,0,398,0,501202VF1A
501212VF1A,MBR ASSY - SIDE INR FR LH (ALF),5,AZ,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,12,AZ,2,0,0,399,0,501212VF1A
501442VF0C,REINF - SIDE MBR INR (RR RH) (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,400,0,501442VF0C
501442VF1B, REINF - STABILIZER BRKT ASSY (RR RH) (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,401,0,501442VF1B
501452VF0C,REINF - SIDE MBR INR (RR LH) (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,402,0,501452VF0C
501452VF0D,REINF - BRKT (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,403,0,501452VF0D
501452VF1B,REINF - STABILIZER BRKT ASSY (RR LH) (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,404,0,501452VF1B
503612VF0B,BRKT ASSY - FR SPR (FR LH) (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,405,0,503612VF0B
503622VF0B,BRKT ASSY - FR SPR (FR RH) (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,406,0,503622VF0B
503812VF0B,BRKT ASSY - RR SPR (FR LH) (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,407,0,503812VF0B
503822VF0B,BRKT ASSY - RR SPR (RR RH) (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,408,0,503822VF0B
504122VF1B,BRKT - FR SHOCK ABS (RH) (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,409,0,504122VF1B
504202VF0A,BRKT - RR SHOCK ABS (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,410,0,504202VF0A
510112VF0A,MBR - CROSS 1ST (ALF),5,AX,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,6,AX,4,0,0,411,0,510112VF0A
510142VF0A,"GUSS-IST CROSS MBR,RH (ALF)",5,AX,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,6,AX,4,0,0,412,0,510142VF0A
510152VF0A,"GUSS-IST CROSS MBR,LH (ALF)",5,AX,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,6,AX,4,0,0,413,0,510152VF0A
510202VF0B,MBR ASSY CROSS 2ND (ALF),5,AX,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,6,AX,4,0,0,414,0,510202VF0B
510302VF0C,MBR ASSYCROSS (ALF),5,AX,-,X866A725KAXCL - GAZL E3,72,72,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,18,AX,4,0,0,415,0,510302VF0C
510402VF0B,MBR ASSY  CROSS 4TH (ALF),5,AX,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,6,AX,4,0,0,416,0,510402VF0B
511912VF0A,RET CAB MTG – RH (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,417,0,511912VF0A
511912VF1A,RET CAB MTG RH (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,418,0,511912VF1A
511912VF2A,RET CAB MTG LH (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,419,0,511912VF2A
545162VE1A,"BRKT-BMPR RUB,RH (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,420,0,545162VE1A
545172VE1A,"BRKT-BMPR RUB,LH (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,24,AY,1,0,0,421,0,545172VE1A
81-A4435-1A,"BOLT- FLG, HEX M14X1.5X35 7T (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,422,0,81-A4435-1A
81-A4445-1A,BOLT FLG HEX M6X1.0X12 7T (ALF),5,AY,-,X866A725KAXCL - GAZL E3,816,816,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,816,AY,1,0,0,423,0,81-A4445-1A
81-B4230-1A,BOLT FLANGE (PART NO: 81-B4230-1A) (ALF),5,AY,-,X866A725KAXCL - GAZL E3,48,48,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,48,AY,1,0,0,424,0,81-B4230-1A
81-B4240-1A,BOLT FLG HEX M6X1.0X12 7T (ALF),5,AY,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,ALF - Loose Item,Chassis Knock down condition,96,AY,1,0,0,425,0,81-B4240-1A
81-A0825-1A,"BOLT- FLG, HEX M8X1.25X25 7T (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,24,AY,1,0,0,426,0,81-A0825-1A
81-A4025-1A,"Bolt-FLG,Hex M10*1.25*25 7T (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,2976,2976,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,2976,AY,1,0,0,427,0,81-A4025-1A
81-B4035-1A,BOLT - FLG M10 X 1.25 X 35 (ALF),5,AY,-,X866A725KAXCL - GAZL E3,2976,2976,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,2976,AY,1,0,0,428,0,81-B4035-1A
89-18308-1A,"NUT-FLG,HEX M8X1.25 9N (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,144,144,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,144,AY,1,0,0,429,0,89-18308-1A
89-18340-1A,NUTFLGHEX M10X1.25 9N (ALF),5,AY,-,X866A725KAXCL - GAZL E3,4536,4536,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,4536,AY,1,0,0,430,0,89-18340-1A
89-18342-1A,"NUT-FLG,HEX M12X1.25 9N (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,384,384,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,384,AY,1,0,0,431,0,89-18342-1A
207132VF0D,MTG ASSY - EXH (ALF),5,AY,-,X866A725KAXCL - GAZL E3,24,24,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,24,AY,1,0,0,432,0,207132VF0D
81-A4030-1A,"BOLT- FLG, HEX M10X1.25X30 7T (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,1128,1128,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,1128,AY,1,0,0,433,0,81-A4030-1A
81-A4230-1A,"BOLT- FLG, HEX M12X1.25X30 7T (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,96,AY,1,0,0,434,0,81-A4230-1A
81-A4240-1A,"BOLT - FLG, HEX M12X1.25X40T (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,96,96,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,96,AY,1,0,0,435,0,81-A4240-1A
89-18344-1A,"NUT-FLG,HEX M14X1.5 9N (ALF)",5,AY,-,X866A725KAXCL - GAZL E3,864,864,X866A725KAXCL - GAZL E3,ALF-Bulk,Chassis Knock down condition,864,AY,1,0,0,436,0,89-18344-1A
